date,trade,share quantity,portfolio value
2018-12-17,BUY,178,1000000.0
2019-01-03,SELL,0,999029.9005432129
2019-02-21,BUY,249,999029.9005432129
2019-03-25,SELL,54,1002752.4516830444
2019-04-01,BUY,232,1009380.7503738403
2019-04-10,SELL,152,1007385.5524978638
2019-04-30,SELL,76,1006184.7522659302
2019-05-02,SELL,38,1006769.9523239136
2019-05-03,SELL,19,1007109.1024398804
2019-05-06,SELL,10,1007213.0524215698
2019-05-07,SELL,5,1007283.0524597168
2019-05-08,SELL,3,1007319.7024841309
2019-05-09,SELL,2,1007340.052482605
2019-05-10,SELL,1,1007362.7024917603
2019-05-20,BUY,175,1013058.3516921997
2019-06-10,SELL,0,1012708.3516921997
2019-07-03,BUY,183,1012708.3516921997
2019-07-05,SELL,34,1011189.451133728
2019-07-08,SELL,17,1011046.6509780884
2019-07-10,SELL,9,1011117.9011611938
2019-07-15,SELL,5,1011142.7011032104
2019-07-17,SELL,3,1011161.701133728
2019-07-18,SELL,2,1011163.251121521
2019-07-19,SELL,1,1011173.5511245728
2019-08-08,BUY,204,1006158.9486465454
2019-10-01,SELL,0,1008759.9486465454
2019-10-15,BUY,178,1008759.9486465454
2019-11-14,SELL,0,1017179.3491897583
2020-01-14,BUY,164,1017179.3491897583
2020-02-03,SELL,0,1018253.5471878052
2020-03-31,BUY,246,1018253.5471878052
2020-06-17,SELL,31,1020602.8441848755
2020-06-22,BUY,205,1023802.042060852
2020-07-13,SELL,45,1024089.0439376831
2020-07-22,BUY,264,1031653.990852356
2020-09-08,SELL,0,1060245.1956863403
2020-10-05,BUY,183,1060245.1956863403
2020-10-30,BUY,378,1065196.9979934692
2020-12-31,SELL,138,1118060.2887649536
2021-01-07,BUY,227,1140423.6843643188
2021-01-18,SELL,0,1138096.941291809
2021-02-03,BUY,187,1138096.941291809
2021-03-10,SELL,0,1200096.8004226685
2021-06-02,BUY,154,1200096.8004226685
2021-06-15,SELL,0,1198880.1966629028
2021-07-30,BUY,229,1198880.1966629028
2021-08-20,SELL,60,1201135.8410720825
2021-08-25,BUY,251,1214374.9364089966
2021-09-14,SELL,40,1223875.280281067
2021-10-05,BUY,269,1249047.8888015747
2021-10-25,SELL,91,1250271.8190994263
2021-11-09,BUY,294,1303353.159187317
2021-11-29,SELL,29,1312055.5878982544
2021-12-28,BUY,258,1390289.8864822388
2022-01-07,SELL,132,1376899.6801834106
2022-01-10,BUY,347,1455416.9249343872
2022-01-24,SELL,178,1442647.3503494263
2022-02-24,SELL,89,1427352.69165802
2022-03-07,SELL,45,1435818.6003494263
2022-03-10,BUY,228,1502900.3925857544
2022-05-02,SELL,2,1638936.5981521606
2022-06-02,BUY,248,1832807.2739334106
2022-06-13,SELL,94,1800654.0981521606
2022-06-27,BUY,340,1997520.1313552856
2022-09-22,SELL,75,2519318.114753723
2022-10-27,BUY,349,3011872.111091614
2022-11-23,SELL,81,3213698.8281326294
2023-01-27,SELL,41,3166882.974128723
2023-02-01,SELL,21,3176571.87915802
2023-02-02,SELL,11,3187980.27759552
2023-02-03,SELL,6,3199799.8281326294
2023-02-06,SELL,3,3206707.0278396606
2023-02-07,SELL,2,3209498.127937317
2023-02-08,SELL,1,3211959.7780838013
2023-05-19,BUY,212,3324805.388435364
2023-07-25,BUY,480,3713487.7312088013
2023-08-14,SELL,293,3708375.7780838013
2023-08-21,BUY,447,3950017.5280838013
2023-08-25,SELL,287,3885649.5280838013
2023-09-11,BUY,487,4158799.9043045044
2023-09-18,SELL,355,4104012.4043045044
2023-10-10,BUY,601,4367739.500984192
2023-10-16,SELL,475,4326300.580329895
2023-10-26,SELL,238,4272476.845466614
2023-11-01,SELL,119,4301066.624519348
2023-11-02,SELL,60,4313457.5774002075
2023-11-03,SELL,30,4320315.580329895
