date,trade,share quantity,portfolio value
2019-02-01,BUY,215,1000000.0
2019-02-15,SELL,51,985530.5419921875
2019-02-25,BUY,225,995566.6040039062
2019-04-10,SELL,14,1072201.6259765625
2019-05-17,BUY,146,1165236.5517578125
2019-06-12,SELL,0,1195130.0517578125
2019-07-01,BUY,187,1195130.0517578125
2019-07-08,SELL,49,1141704.1608886719
2019-07-19,SELL,25,1139449.162109375
2019-07-22,SELL,13,1139537.0615234375
2019-07-23,SELL,7,1140749.3598632812
2019-07-24,SELL,4,1140745.1608886719
2019-07-25,SELL,2,1140970.5607910156
2019-07-26,SELL,1,1141555.4609375
2019-08-07,BUY,220,1046685.8715820312
2019-08-22,SELL,13,1013311.8823242188
2019-08-26,BUY,224,936971.5810546875
2019-10-11,SELL,0,1082336.3701171875
2019-11-07,BUY,226,1082336.3701171875
2019-11-11,SELL,39,1069499.50390625
2019-12-17,BUY,253,1048919.390625
2020-01-06,SELL,84,1013739.7282714844
2020-01-15,BUY,244,1028449.9167480469
2020-01-21,SELL,80,1011699.3405761719
2020-01-29,BUY,240,1065035.3171386719
2020-02-26,SELL,0,1158875.3171386719
2020-04-09,BUY,240,1158875.3171386719
2020-04-13,SELL,120,1398107.2995605469
2020-04-15,SELL,60,1543178.2907714844
2020-04-16,SELL,30,1623131.2937011719
2020-04-21,SELL,15,1660177.5437011719
2020-04-22,SELL,8,1679537.2937011719
2020-04-23,SELL,4,1690281.0935058594
2020-04-24,SELL,2,1695163.7937011719
2020-04-27,SELL,1,1698065.34375
2020-08-25,BUY,155,1867685.8635253906
2020-09-04,SELL,0,1860540.3862304688
2020-10-06,BUY,233,1860540.3862304688
2020-10-13,SELL,128,1813544.2976074219
2020-10-14,BUY,371,1801427.1413574219
2020-10-15,SELL,251,1743068.8232421875
2020-10-23,BUY,473,1733765.6162109375
2020-12-21,SELL,266,2549667.05859375
2021-02-02,BUY,492,2968557.6176757812
2021-02-22,SELL,256,3068753.3696289062
2021-04-27,BUY,475,3242306.6911621094
2021-05-31,SELL,370,3604684.3767089844
2021-06-01,BUY,596,4184891.677001953
2021-06-08,SELL,367,4167369.335205078
2021-06-10,BUY,499,4633643.515869141
2021-06-22,SELL,243,4598913.067138672
2021-07-28,BUY,375,5026473.108154297
2021-08-06,SELL,188,5012335.534912109
2021-08-17,BUY,395,5654976.600097656
2021-09-14,SELL,94,6052919.234375
2021-09-27,SELL,0,6088441.87109375
2021-12-08,BUY,211,6088441.87109375
2021-12-21,SELL,106,6050907.9208984375
2021-12-28,BUY,355,5972534.856933594
2022-01-21,SELL,126,6138355.3916015625
2022-02-24,SELL,0,6044365.6669921875
2022-03-15,BUY,211,6044365.6669921875
2022-04-19,SELL,0,6169488.6669921875
2022-05-24,BUY,285,6169488.6669921875
2022-06-13,SELL,216,6043931.97265625
2022-06-24,BUY,462,6041585.720703125
2022-08-19,SELL,206,6833430.7109375
2022-09-20,BUY,355,7175826.265136719
2022-09-26,SELL,160,7042381.7998046875
2022-10-20,BUY,406,7471911.408203125
2022-10-21,SELL,280,7374613.5478515625
2022-12-06,BUY,576,7502563.4931640625
2022-12-14,BUY,841,7704540.2216796875
2022-12-28,BUY,1100,7729337.8154296875
2023-01-05,SELL,968,7315682.4931640625
2023-01-06,SELL,484,7257771.9404296875
2023-01-09,SELL,242,7289861.1640625
2023-01-10,SELL,121,7291978.604980469
2023-01-11,SELL,61,7303220.205078125
2023-01-12,SELL,31,7309431.346191406
2023-01-13,SELL,16,7313726.4931640625
2023-01-16,SELL,8,7314969.2939453125
2023-01-17,SELL,4,7315222.0947265625
2023-01-18,SELL,2,7315479.693359375
2023-01-19,SELL,1,7315594.8935546875
2023-01-30,BUY,286,7379159.2431640625
2023-02-24,SELL,67,7440491.9990234375
2023-04-03,BUY,352,7381702.8359375
2023-05-26,BUY,392,7844617.3125
2023-06-05,SELL,149,7898987.7890625
2023-07-04,BUY,309,8350622.1015625
2023-08-24,BUY,552,8452507.146484375
2023-10-18,SELL,330,8854970.130859375
2023-12-01,BUY,521,8933559.333496094
2023-12-26,SELL,408,8882996.130859375
